"bambara","french"
"Mun na ?","Pourquoi ?"
"Ne sɛgɛnna kojugu !","Je suis trop fatigué !"
"Kalan y'i sɛgɛn wa ?","Est-ce que l’étude t’a fatigué ?"
"Ayi, kalan ma ne sɛgɛn.","Non, l’étude ne m’a pas fatigué."
"Tigabɔ ye ne sɛgɛn !","20"
"Su kora, Sirajɛ bɛ na Maria wele.","La nuit est tombée, Siraje vient appeler Maria."
"Maria, i ni su !","Maria, bonsoir !"
"Nse, Sirajɛ, i ni su !","Merci, Siraje, bonsoir !"
"I tilenna di ?","Comment as-tu passé la journée ?"
"Tɔɔrɔ tɛ !","Pas de mal!"
"Maria, ne nana i wele, i tɛ na ɲɛnajɛ la wa ?","Maria, je suis venue t’appeler, ne viens-tu pas à la fête ?"
"Ɲɛnajɛ bɛ bɔ min ?","Où se passe la fête ?"
"Ɲɛnajɛ bɛ bɔ fɛrɛ la.","La fête se passe sur la place publique."
"Siɲɛna don wa ?","Est-ce la veillée ?"
"Ayi, siɲɛna tɛ.","Non, ce n’est pas la veillée."
"An tɛ si an ɲɛ na ?","Ne veillerons-nous pas toute la nuit ?"
"Ayi, an tɛ si an ɲɛ na.","Non, nous ne veillerons pas toute la nuit."
"I bɛ na wa ?","Viens-tu ?"
"Sirajɛ, i ye ne wele, o diyara n ye !","Siraje, tu m’as invitée, cela m’a fait plaisir!"
"N bɛ na kɛ !","Bien sûr, je viens !"
"O fana diyara n ye !","Cela me fait plaisir aussi !"
"I ye ne bonya, Ala k'i bonya !","Tu m’as honorée, que Dieu t’honore !"
"Amiina !","Amen!"
"I jɔ, ne bɛna seliduloki don !","Attends, je vais mettre l’habit de fête !"
"A ! i ye duloki ɲuman don dɛ !","Ah! Tu as vraiment mis un bel habit !"
"A cɛ ka ɲi wa ?","Est-il joli ?"
"A cɛ ka ɲi kojugu !","Il est très joli !"
"I y'o san min ?","Où l’as-tu acheté ?"
"Ayi, ne ma o san.","Non, je ne l’ai pas acheté."
"Ne ba y'o di ne ma.","Ma mère me l’a donné."
"A ye ko ɲuman kɛ.","Elle a fait une bonne action."
"Ala ka i ba kɛnɛ to !","Que Dieu garde ta mère en bonne santé !"
"Amiina !","Amen!"
"I kɛnɛ k'a kɔrɔ !","Que Dieu te donne de l’user en bonne santé !"
"Amiina !","Amen !"
"Ala ka dugaw minɛ !","Que Dieu accueille tes bénédictions !"
"Amiina !","Amen!"
"Jigi dun ?","Et Jigi ?"
"A tɛ na wa ?","Ne vient-il pas ?"
"Ɔwɔ, Jigi ni denmisɛnw taara kaban !","Oui, Jigi et les enfants sont déjà partis "
"Kunnafoni in sɛmɛntiyara Kaduna mara "" commissaire "" ɲɛmaa de fɛ bi.","L'information a été confirmée aujourd'hui par le commissaire principal de la région de Kaduna."
"Samel Aruwan ka dantigɛli la, a fɔlɔla ka fili dɔ de latilen, ni o ye k'a jira ko sungurunnin ninnu tun ye 8 de ye u minɛdon.","Au cours de ses explications, Samuel Arouan a commencé par corriger une erreur, en indiquant que ces jeunes filles étaient huit le jour de leur enlèvement."
"Ko 10 tun tɛ, bawo o kunnafoni tun carinna mɔgɔ caman fɛ.","Et non dix, une information qui avait été colportée par de nombreuses personnes."
"Ɲɛfɔliw la halisa, cɛw in ko kalanden ninnu sɛgɛnnen de sera olu ma.","Dans leurs déclarations, ces hommes ont indiqué  que ces écolières étaient très fatiguées lorsqu'elles sont arrivées."
"U yɛrɛ ka seereyaw la, u k'olu ye tile caman de kɛ taama na u ka tilali kɔ jatigɛwalekɛlaw la walasa ka se ka Kaduna mara lasɔrɔ.","Selon leurs propres témoignages, elles ont marché plusieurs jours après avoir quitté les terroristes avant de pouvoir rejoindre la région de Kadouna."
"U se mara in kɔnɔ, dɔgɔtɔrɔ sɛgɛsɛgɛliw de kɛra kalanden ninnu kan fɔlɔ, ka sɔrɔ ka u lasegin u somɔgɔw ma nisɔndiya kɔnɔ.","Une fois arrivées dans la région, les docteurs les ont d'abord examinées, avant de les rendre à leurs familles dans la joie."
"Sungurunnin ninnu ka seereya kan sababu la, mara in lakanatigilamɔgɔw ko : olu ye ɲininiw dabɔ Kaduna kɛrɛfɛ kungo dɔw kɔnɔ, walasa ka se ka tɛgɛ da cɛ marifatigiw kan, minnu ka baara ye mɔgɔw diyagoyaminɛ ye.","A propos des témoignages des jeunes filles, les agents de sécurité ont dit qu'ils avaient commencé des recherches dans les zones de brousse proches de Kadouna afin d'intercepter les hommes armés dont le travail consiste à enlever les gens de force."
"Nizeriya jamana na, mɔgɔminɛ ɲɔgɔn ɲɛnen bɛ kosɛbɛ nin waati laban in na Kaduna mara la, a caman na minɛkɛlaw bɛ tila ka wari de ɲini mɔgɔ minɛnen somɔgɔw bolo, ni an ko o ma ko "" rançon "".","Au Nigeria, de tels enlèvements sont monnaie courante ces derniers temps dans la région de Kadouna, la plupart du temps les kidnappeurs finissent par exiger de l'argent auprès des familles des personnes enlevées, ce que l'on appelle une rançon."
" Ntalen ","Ntalen"
"I ɲɛ bɛ jirisunba min na yen fɛ, nin fugakɛnɛba in kɔfɛ, dugu belebele tun bɛ yen, min tɔgɔ tun ye Tujan.","Le baobab que vous voyez là-bas, avec cette grande clairière à côté, il y avait là un gros village, dont le nom était Tujan."
"Tujan masakɛ tun ye Jerika ye.","Le chef de Tujan s'appelait Jerika."
"Jerika ye muso saba furu : Nanaba, Togoso ani Lariba.","Jerika avait épousé trois femmes : Nanaba, Togosso et Lariba."
"Cɛkɔrɔba mana muso saba furu, bɛɛ b'a dɔn ko olu tɛ se ka damakɛnyɛ furuso kɔnɔ.","Le vieil homme ayant épousé trois femmes, tout le monde savait qu'elles ne pourraient rester égale dans le mariage."
"Ee ! cɛkɔrɔba n'a dalasiw !","Ah ! Le vieil homme et ses moustaches !"
"Ka muso kafo ɲɔgɔn kan k'i sigi olu kunna iko tile.","Mettre des femmes ensemble et s'installer au-dessus comme le soleil ?."
"Muso saba in na, Lariba, kɛra mɔgɔ mango ye.","Parmi ces trois femmes, Lariba, devint celle que l'on déteste."
"Mangoya ye bana ye, bana juguba.","La haine est une maladie, une maladie très grave."
"Ni mangoya y'i sɔrɔ, a t'i yɔrɔ si to yen","Si la haine te tombe dessus, elle ne te laisse aucun espace.  "
"I kumacogo bɛ mɔgɔw jeni ; i tagamacogo bɛ mɔgɔw dimi ; hal'i yɛlɛkan bɛ dɔw dusu tɔɔrɔ.","Ta façon de parler insupporte les gens, ta façon de marcher les irrite, même ta façon de rire fait mal au cœur !"
"Lariba kɛra Jerika ka du kɔnɔ iko fali tigintan.","Lariba devint, dans la concession de Jerika, comme un âne sans maître. "
"A tɔgɔ tɛ fɔ ni baara tuma tɛ.","On ne prononçait pas son nom lorsque ce n'était pas le moment de travailler."
"Don o don, a kelen bɛ baara gologɛlɛnw kɛ : Yɔrɔfuran, finiko, minɛnnɔgɔko, dumunitobi ani jita.","Tous les jours, elle seule faisait les travaux de force :  Balayer, faire la lessive, faire la vaisselle, faire la cuisine, et aller chercher l'eau."
"O wagatiw la, a sinamuso Nanaba ni Togoso ka baara la belebele ye sogojeni ni sogodun.","Pendant ce temps, le grand travail de ses coépouses Nanaba et Togosso c'était de griller la viande et de la manger."
"Mangoya bɛ hali muso negebɔ cɛ la siyɔrɔ la.","La haine ôte même le désir de la femme chez l'homme dans la chambre à coucher."
"Jerika ye siyɔrɔ tigɛ Lariba la pewu !","Jerika boudait complètement la chambre de Lariba."
"San dɔ kɛra, Nanaba tagar'a faso la sabu a y'a fa ka bana ko kibaru mɛn.","Il arriva un jour que Nanaba parte chez son père ; en effet elle avait appris que son père était malade."
"A tagatɔ a ye kankari da Jerika ye :","Sur le point de partir, elle donna un avertissement à Jerika :"
"- ni ne nana k'a sɔrɔ e ye su kelen si Lariba jolimango in fɛ, i k'a dɔn k'o ye ne ka furu salen ye.","- Si à mon retour je m'aperçois que tu as passé une seule nuit avec cette détestable Lariba, sache que notre mariage sera rompu."
"- i ko di ?","Comment ?"
"I daji tu k'o kɔrɔfɔ bɔ i da kɔnɔ !","Essuie ta salive qui fait sortir des sornettes de ta bouche !"
"Ne Jerika ni Lariba ?","Moi Jerika avec Lariba ?"
"I t'o ye, wa i t'o mɛn.","Tu ne verras pas ça, ni tu ne l'entendras."
"O ye Jerika kan ye !","C'est Jerika qui parle!"
"O dugujɛ, dugutagala ye dɔ fara a sennɔ kan.","À l'aube, la voyageuse partit au plus vite."
"Nanaba tagalen kunɲɔgɔn dafara tuma min na, bana ye Togoso minɛ, bana juguba.","Nanaba n'était pas partie depuis une semaine que Togosso attrapa la maladie, une maladie très grave."
"Jerika kɛra cɛganan kɔrɔkɛ ye.","Jerika devient un vieux célibataire."
"Muso saba tigi kɛra don kelen cɛganan ye.","L'époux de trois femmes était devenu célibataire d'un jour à l'autre."
"A tora o cogo la fɔ don dɔ, Jerika miiri janyara.","Il resta comme ça jusqu'au jour où une idée vint à l'esprit de Jerika."
"Kamalen kɔrɔba y'i kɛ cogo o cogo, i nege bɛ sen sɔrɔ i kan wagati dɔ la.","Le vieux dragueur, quoi qu'il fasse, vient un jour où le désir prend le dessus."
"Nege ani kanuya bɔlen don ɲɔgɔn fɛ, nka bɛɛ b'a dɔn k'u tɛ kelen ye.","Le désir et l'amour se ressemblent, mais tout le monde sait que ce n'est pas la même chose."
"Lariba nege nana Jerika minɛ.","Le désir de Lariba vint à tomber sur Jerika."
"Su kora tuma min na, Nanaba bɛ a faso la, Togoso banabagatɔ b'a ka so kɔnɔ, Lariba wulila ka t'i da.","Au moment où la nuit tombait, Nanaba étant chez son père et Togosso malade dans sa maison, Lariba se leva et ne se coucha plus."
"Jerika tora, a bɛ yaalayaala du kɛnɛ ma, a kɔnɔnanko y'a kɛɲɛ ka sunɔgɔ.","Jerika sortit faire une promenade au-dehors de la concession, ses pensées l'empêchaient de dormir. "
"Dugutilalenba, masakɛ in y'i ɲɔgɔri a sennunkun kan, ka Lariba siyɔrɔ sɛgɛrɛ.","Au milieu de la nuit, notre chef s'approcha à pas de loup, sur la pointe des pieds, pour rejoindre la chambre à coucher de Lariba."
"A y'i kari ka don so kɔnɔ yɔrɔ min, Lariba jiginna ka wuli k'i kanto :","Au moment où il entrait par effraction, Lariba se leva promptement et dit :"
"- o ye jɔnni ye dugutilaba in na ?","- Qui est-ce à cette heure tardive de la nuit ?"
"- ne Jerika don.","- C'est moi Jerika."
"Ni i ma wuli ka misɛli ɲini ka di yan walasa ne ka n ka fini bɔrɔtɔkala sisan, i ka tigɛ n na, ne bɛ si yan bi.","Si tu ne te lèves pas pour chercher une aiguille et ma la donner, pour que je répare tout de suite mon vêtement décousu, alors crois-moi, je passe la nuit ici aujourd'hui."
"- Ɛɛ ! makɛ !","- Eh, chef !"
"Dayɔrɔ filɛ, n'o tɛ ne tɛ misɛli ye su in na tugun !","Voilà le lit. Car sinon, dans cette nuit, je ne peux plus voir d'aiguille !"
"O ye Lariba mankan ye.","Ainsi parla Lariba."
"O fɔra yɔrɔ min, Jerika ye dulɔkiba faari k'o da.","Sitôt dit, Jerika épousseta sa grande chemise et la posa."
"Min bɔra o ko la, hakilima bɛɛ ka kan ka o faamuya.","Ce qu'il advint, tous les sages doivent le comprendre."
"Suruku kɔngɔtɔ man ɲi sogo bosoyɔrɔ la.","Une hyène affamée ne plaît pas là où l'on dépèce les bêtes."
"Togoso ma bɔ fosi kala ma nin ko in na.","Togosso ne fut au courant de rien cette fois-ci."
"Kelen kelen, Nanaba nana ka bɔ a ka dugutaga yɔrɔ la.","Déjà, Nanaba prenait le chemin du retour."
"O y'a sɔrɔ Togoso o fana kɛnɛyara.","Il se trouva que Togosso elle aussi était guérie."
"Nanaba fɔlɔla ka min ɲininka Jerika la, o filɛ :","La question que Nanaba posa à Jerika, la voici :"
"- yala ko ma tɛmɛ, i ni Lariba cɛ wa ?","- Est-ce que par hasard quelque chose ne s'est pas passé entre toi et Lariba ?"
"- hali kelen !","- Même pas une fois !"
"O ye Jerika ka jaabi ye.","Telle fut la réponse de Jerika."
"Dugu kibaruya dɔnyɔrɔ ye yɔrɔ saba ye : musow ka kolonsenkɔrɔla, dugu forobakɔlɔnba da, ani cɛw ka barokɛgɛlɛjan kanna.","Au village, il y avait trois lieux pour apprendre les nouvelles : autour du mortier des femmes, autour du grand puits commun, et sur la grande plateforme où les hommes bavardent."
"Tujan kɔnɔ, cɛkɔrɔbaw bɛ to k'a fɔ gɛlɛ kan ko :","A Tujan, les hommes, installés sur la plateforme de la place du village, disaient entre eux :"
"“ masakɛ muso Lariba yɛlɛmana kosɛbɛ dɛ !","« La femme du chef, Lariba, elle a bien changé !"
"A mana kɛ min ye, a' na sidɔn o. ”","En quoi elle s'est transformée, oh ! vous allez le deviner. »"
"Kolonsenw kɔrɔ, musow bɛ to ka ɲɔgɔn ɲininka :","Autour des mortiers, les femmes ne cessaient de se questionner les unes les autres :"
"“ a fɔ masakɛ seginna Lariba ma wa ?","« On dit que le chef est revenu auprès de Lariba ?"
"A bɛ iko a kelen t'a golo la sisan dɛ ! ”","C'est comme si elle n'était pas seule dans sa peau, vraiment ! »"
"Forobakɔlɔnba da la, musomisɛnninw b'a fɔ ko :","Autour du grand puits communal, les jeunes filles disaient :"
"“ a fɔ kamalen dɔ bɛ sɔrɔ Lariba fɛ wa ?","« Dis-moi, est-ce que Lariba aurait trouvé un amant ?"
"Ne sigalen bɛ a la sisan dɛ !","J'ai des doutes là-dessus à cette heure !"
"Masakɛ dun tɛ don a kan tugun. ”","Le chef, lui, en tout cas n'entre plus chez elle. »"
"Kalo kelen, kalo fila, kalo saba, kalo naani, kalo duuru, Lariba ka kɔnɔmaya bɔra dogo la, a kɛra kɛnɛkanda ye.","Un mois passe, deux mois, trois mois, quatre mois, cinq mois, la grossesse de Lariba  ne pouvait plus rester cachée, elle devint une affaire publique."
"Don dɔ wulada fɛ, Nanaba ani Togoso, u ye Jerika weele k'a ɲininka :","Un soir, Nanaba et Togosso appelèrent Jerika et lui demandèrent :"
"- e ko fosi t'i ni Lariba cɛ.","- Tu dis qu'il n'y a rien entre Lariba et toi."
"O tuma na a bɛ sawura min na sisan, o minɛna ji fɛ wa !","La forme qu'elle a prise maintenant, l'a-t-elle attrapée dans l'eau ?"
"- kakala don !","- C'est une débauchée !"
"A y'a sɔrɔ bɔlɔn fɛ !","Elle a traîné dans la rue !"
"Ni o tɛ, ne kɔni tɛ o !","En tous cas ça n'est pas moi !"
"- o tuma na, bi bɛɛ, i b'a labila a ka bɔ du kɔnɔ.","- Alors, aujourd'hui même,  tu la feras sortir de la concession."
"N'o ma kɛ, anw bɛ taga.","Sinon, nous, nous partirons."
"O yɔrɔnin bɛɛ, Jerika ye Lariba wele, k'i kanto :","À l'instant même, Jerika appela Lariba et lui dit :"
"- i bɛ bɔ ne ka dugu kɔnɔ, i bɛ ne ka dugu bila.","- tu sors tout de suite de mon village, tu quittes mon village."
"I den sidɔnbali in tɛ wolo ne ka jamana kan.","Ton enfant illégitime ne viendra pas au monde dans mon pays."
"Kɔrɔfɔ wagati la, Jerika kun birilen tora.","Pendant toute cette gronderie, Jerika garda la tête basse."
"Jaga nkalontigɛla ɲɛkili tɛ se ka waga a kɔrɔdɔnbaga la.","Les yeux du vieux bouc menteur  ne peuvent soutenir le regard de celle qui sait."
"Hinɛtɔ ko, makaritɔ ko, jigitigɛ ko.","Malheur au pitoyable, malheur au miséreux, malheur de la désillusion !"
"Mɔgɔ man ɲi !","Les gens ne sont pas tendres !"
"Mɔgɔ tɛ sɔn !","Ils ne pardonnent pas !"
"Ni jan ye kɔnɔnin minɛ, n'o y'a piripiri yɔrɔ cɛ yan, a yɔrɔ bɛɛ bɛ nɔrɔ jan na.","Quand le piège attrape l'oiseau, quand il se débat d'un coin à l'autre, tout ce qu'il touche se colle au piège."
"Lariba ma pipipirili kɛ.","Lariba ne se débattit point."
"A ye minɛnw cɛ, k'a kunfɛtaga sira minɛ..","Elle rassembla ses affaires et prit sa route de l'aventure."
"A ye su wolonfila ni tile wolonfila kɛ tagama la tuma min na, a nana se fuga kɛnɛba dɔ la ka bɛn ni sufɛla ye.","Alors qu'elle eut passé sept jours et sept nuits sur la route, elle arriva à la nuit tombante au seuil d'une grande et agréable clairière. "
"A ye fini dɔ fɛnsɛn dugu ma, k'i da sunɔgɔ kama kungokolonba in kɔnɔ.","Elle étendit un linge sur le sol pour s'y allonger et dormir au milieu de la brousse immense."
"Tuma min a b'a fɛ ka sunɔgɔ, fɛn dɔ nana a kunun k'a ɲininka :","Alors qu'elle était sur le point de s'endormir, quelque chose vint la réveiller et lui demander :"
"- i kana siran, so senfilanin.","- N'aie pas peur, cheval à deux pattes."
"A kɛra cogo di ?","Comment ça va ?"
"Lariba y'a ka degun ɲɛfɔ tuma min na, fɛn in ye dibi fara ka bɔ u ni ɲɔgɔn cɛ : musokɔrɔnin cɛɲi sarama.","Lariba allait expliquer ses déboires quand la chose écarta l'obscurité qui les séparait : une jolie et charmante vieille femme."
"A y'i kanto Lariba ma :","Elle dit à Lariba :"
"- i sigilen bɛ ne denkɛ ka so da la, wuli an ka don so kɔnɔ.","- Tu es assise au seuil de la maison de mon fils, lève-toi et entrons dans la maison."
"N denkɛ bɛ dugutagayɔrɔ la.","Mon fils est en voyage."
"Ni a nana, i kana siran.","Quand il rentrera, n'aie pas peur."
"Nin furamugu in minɛ k'o mu i ɲɛda la.","Prends cette crème et enduis-en ton visage."
"Lariba ye furamugu minɛ yɔrɔ min k'a mu a ɲɛda la, a ye dugu belebeleba ye a kɛrɛfɛ.","Dès que Lariba eut pris la crème pour s'en enduire le visage, elle vit un gros village tout à côté."
"Sow cɛ ka ɲi, mɔgɔw cɛ ka ɲi, fɛn sugu bɛɛ bɛ ye.","De belles maisons, de belles personnes, toutes sortes de choses se présentaient à sa vue."
"Sɔɔni, denkɛ jinɛlama nana, nka Lariba ma siran.","Bientôt, le fils revint, une sorte de génie, mais Lariba n'eut pas peur."
"Jinɛmusokɔrɔ in ye ɲɛfɔli kɛ a denkɛ ye tuma min na, o y'i kanto :","Une fois que la vieille sorcière eut donné des explications à son fils, ce dernier dit :"
"- dunan ni so tɛ yaala.","- L'étranger et le cheval ne se promènent pas."
"So senfilanin man ɲi koyi !","Le cheval à deux pattes n'est pas bien beau !"
"I b'i ka so.","Tu es chez toi."
"U ye Lariba ladon k'a tɔpɔtɔ iko kɔɲɔmuso, fɔ ka t'a se a jiginni ma : a ye denkɛ sɔrɔ.","Ils s'occupèrent de Lariba et la cajolèrent comme une mariée, jusqu'à ce qu'elle soit prête à accoucher : elle eut un fils."
"U ye denkɛ in tɔgɔda ko Ntalen.","Ils baptisèrent ce fils Ntalen."
"Ntalen sigira, k'a ŋunuma, k'a tagama.","Ntalen s'assit, puis il marcha à quatre pattes, puis il marcha sur ses deux jambes."
"A kɛra bilakoro kɔrɔlen ye tuma min na, u y'a boloko.","Quand le petit garçon incirconcis fut devenu assez grand, ils le firent circoncire."
"A sera musofuru ye wagati min na, u ye jinɛ npogotigi kelen yɛlɛma ka kɛ mɔgɔ ye, k'o furu a ma.","Quand il arriva en âge de se marier, ils prirent la première fille du génie, la transformèrent en être humain et la lui donnèrent en mariage."
"Jinɛkuntigi ye dugumɔgɔw fara ɲɔgɔn kan, k'a fɔ u bɛɛ ye [k'i seko kɛ yalasa u bɛ Lariba n'a denkɛ labila].","Le chef des génies rassembla les gens du village et leur dit à tous de faire le maximum pour accepter Lariba et son enfant."
"Lariba ani Ntalen, u y'a nafolo caman sɔrɔ : baw, misiw, sagaw, faliw, sow, sanu ani wari.","Lariba et Ntalen eurent beaucoup de richesses : chèvres, vaches, moutons, ânes,  chevaux, or et argent."
"Ntalen tagara a faso fan fɛ, ka dugusigi ye, a n'a ba Lariba.","Ntalen partit vers chez son père, lui et sa mère Lariba, pour voir comment était la ville."
"Dugu in kɛra dugu belebele ye, a kɛra dugu dumanba ye, ka Ntalen kɛ a masakɛ ye.","La ville devint une grande ville, une ville très belle, et Ntalen en devint le roi."
"Nanaba ni Togoso sinamuso juguw ye o mɛn tuma min na, u ko Jerika ma :","Lorsque Nanaba et Togosso  les méchantes coépouses furent au courant, elles dirent à Jerika :"
